DOI,Title,Year,First author,Found in,OpenAlex API,Indexed in,is_oa,oa_status,oa_url,pdf url,cited by count,citation normalized percentile (value),Concepts,ISSN,Authors,APA reference,Abstract
https://doi.org/10.1016/j.jadohealth.2024.06.022,"Associations Between Gender Dysphoria, Eating Disorders, and Mental Health Diagnoses Among Adolescents",2024,Abernathey L.; Kahn N.F.; Sequeira G.M.; Richardson L.P.; Ahrens K.,,https://api.openalex.org/works/https://doi.org/10.1016/j.jadohealth.2024.06.022,,false,,,,,,,1054139X,Abernathey L.; Kahn N.F.; Sequeira G.M.; Richardson L.P.; Ahrens K.,,"Purpose: Transgender adolescents and adolescents with eating disorders (EDs) are known to have increased mental health comorbidity; however, little is understood about how gender dysphoria (GD), disordered eating and mental health disorders relate to each other. The purpose of this study was to examine associations between GD, ED, and mental health diagnoses among adolescents. Methods: Data were extracted from the electronic health records of 57,353 patients aged 9-18 seen at a single pediatric health system between 2009 and 2022. Adjusted logistic regression models tested for associations between GD, ED, and mental health diagnoses. Results: Youth with a GD diagnosis had significantly greater odds of also having an ED diagnosis compared to those without a GD diagnosis (adjusted odds ratio [aOR] = 3.72, 95% confidence interval [CI]: 2.98–4.64). Among those with an ED diagnosis, youth with a GD diagnosis had significantly lower odds of having an anorexia nervosa diagnosis (aOR = 0.34, 95% CI: 0.18–0.61) and significantly greater odds of having an unspecified or other specified ED diagnosis (aOR = 2.48, 95% CI: 1.56–3.93) compared to those without a GD diagnosis. Youth with both GD and ED diagnoses had significantly greater odds of also having a diagnosis of anxiety (aOR = 24.01, 95% CI: 14.85–38.83), depression (aOR = 48.41, 95% CI: 30.38–77.12), suicidality (aOR = 26.15, 95% CI: 16.65–41.05) and self-harm (aOR = 35.79, 95% CI: 22.48–56.98) as compared to those with neither a GD nor an ED diagnosis. Discussion: Adolescents with co-occurring GD and ED diagnoses are at greater risk for anxiety, depression, suicidality, and self-harm as compared to youth with neither diagnosis. Further research is essential to understand the complex interplay of mental health concerns and EDs among gender diverse adolescents and to inform appropriate interventions. © 2024 Society for Adolescent Health and Medicine"
https://doi.org/10.1016/j.jadohealth.2024.06.022,"Associations Between Gender Dysphoria, Eating Disorders, and Mental Health Diagnoses Among Adolescents",2024,"Abernathey, Liz; Kahn, Nicole F.; Sequeira, Gina M.; Richardson, Laura P.; Ahrens, Kym",,https://api.openalex.org/works/https://doi.org/10.1016/j.jadohealth.2024.06.022,,false,,,,,,,1054-139X,"Abernathey, Liz; Kahn, Nicole F.; Sequeira, Gina M.; Richardson, Laura P.; Ahrens, Kym",,"Purpose: Transgender adolescents and adolescents with eating disorders (EDs) are known to have increased mental health comorbidity; however, little is understood about how gender dysphoria (GD), disordered eating and mental health disorders relate to each other. The purpose of this study was to examine associations between GD, ED, and mental health diagnoses among adolescents. Methods: Data were extracted from the electronic health records of 57,353 patients aged 9-18 seen at a single pediatric health system between 2009 and 2022. Adjusted logistic regression models tested for associations between GD, ED, and mental health diagnoses. Results: Youth with a GD diagnosis had significantly greater odds of also having an ED diagnosis compared to those without a GD diagnosis (adjusted odds ratio [aOR] = 3.72,95% confidence interval [CI]: 2.98-4.64). Among those with an ED diagnosis, youth with a GD diagnosis had significantly lower odds of having an anorexia nervosa diagnosis (aOR = 0.34,95% CI: 0.18-0.61) and significantly greater odds of having an unspecified or other specified ED diagnosis (aOR = 2.48,95% CI: 1.56-3.93) compared to those without a GD diagnosis. Youth with both GD and ED diagnoses had significantly greater odds of also having a diagnosis of anxiety (aOR = 24.01, 95% CI: 14.85-38.83), depression (aOR = 48.41, 95% CI: 30.38-77.12), suicidality (aOR = 26.15, 95% CI: 16.65-41.05) and self-harm (aOR = 35.79, 95% CI: 22.48-56.98) as compared to those with neither a GD nor an ED diagnosis. Discussion: Adolescents with co-occurring GD and ED diagnoses are at greater risk for anxiety, depression, suicidality, and self-harm as compared to youth with neither diagnosis. Further research is essential to understand the complex interplay of mental health concerns and EDs among gender diverse adolescents and to inform appropriate interventions. (c) 2024 Society for Adolescent Health and Medicine. All rights are reserved, including those for text and data mining, AI training, and similar technologies."
https://doi.org/10.1521/bumc.2023.87.2.162,Psychological disorders and positive mental health in gender-diverse youth,2023,"Gallagher, Katherine A. S.; Axelrad, Marni E.",,https://api.openalex.org/works/https://doi.org/10.1521/bumc.2023.87.2.162,,false,,,,,,,0025-9284,"Gallagher, Katherine A. S.; Axelrad, Marni E.",,"An estimated 1.8% of U.S. adolescents identify as transgender, and when using expansive language to include diverse identities along the gender continuum (e.g., nonbinary, gender fluid), rates may be notably higher. Gender-diverse youth (GDY) experience significantly elevated rates of depression, anxiety, suicidality, and eating disorders relative to the general population. Youth with autism spectrum disorders also appear to report diverse gender identities at higher rates than neurotypical youth. Gender-minoritized stress, including distal (e.g., transgender related stigma and discrimination) and proximal (e.g., social or familial rejection due to gender-diverse identity) stressors, increase risk for mental health disorders among GDY, and gender affirmation mitigates risk. Gender-affirming medical and behavioral health care is associated with enhanced resilience and positive mental health outcomes for GDY."
https://doi.org/10.1002/eat.23872,Examination of eating disorder psychopathology across sexual and gender identities among a Canadian sample,2023,Hallward L.; Nagata J.M.; Rodgers R.F.; Ganson K.T.,,https://api.openalex.org/works/https://doi.org/10.1002/eat.23872,,false,,,,,,,02763478,Hallward L.; Nagata J.M.; Rodgers R.F.; Ganson K.T.,,"Objective: Eating disorders (EDs) disproportionately affect sexual and gender minorities, with majority of research conducted among samples in the United States. The purpose of this study was to examine ED psychopathology among adolescents and young adults in Canada with diverse gender and sexual identities. Method: Data were collected from 2,714 Canadians, aged 16–30 years old, via an online survey at the end of 2021 during the COVID-19 pandemic. Participants responded to sociodemographic questions (including history of EDs) and reported on eating attitudes and behaviors. Descriptive statistics and multiple modified Poisson and linear regressions were conducted. Results: Over half the sample was heterosexual, 35% were sexual minority cisgender men and women, and 6.5% were transgender and gender non-conforming (TGNC) people. The sample overall reported elevated ED psychopathology based on their eating attitudes and behaviors. TGNC participants reported the most severe ED psychopathology. Generally, sexual minority cisgender women and cisgender men had elevated ED psychopathology compared to their heterosexual counterparts. Regression analyses revealed all gender and sexual minorities reported greater ED psychopathology compared to heterosexual cisgender men. Discussion: The Canadian sample reported elevated ED psychopathology compared to previous studies among various populations. Additional investigations are now needed to observe how ED psychopathology continues to change after the onset of the pandemic. Further research is needed among cisgender men, TGNC people, and sexual minorities to understand the unique stressors they face that lead to high ED psychopathology, and develop appropriate prevention and treatment tools. Public significance: EDs affect people of all gender and sexual identities. People who identify as a gender and/or sexual minority often experience problematic eating attitudes and behaviors, particularly transgender and gender non-conforming people of all sexual identities. More research attention is needed among these populations, especially due to a paucity of research among Canadians, to develop effective diagnostic tools, prevention efforts, and treatment programs specific to gender and sexual identities. © 2022 Wiley Periodicals LLC."
https://doi.org/10.1002/eat.23872,Examination of eating disorder psychopathology across sexual and gender identities among a Canadian sample,2023,"Hallward, Laura; Nagata, Jason M. M.; Rodgers, Rachel F. F.; Ganson, Kyle T. T.",,https://api.openalex.org/works/https://doi.org/10.1002/eat.23872,,false,,,,,,,0276-3478,"Hallward, Laura; Nagata, Jason M. M.; Rodgers, Rachel F. F.; Ganson, Kyle T. T.",,"ObjectiveEating disorders (EDs) disproportionately affect sexual and gender minorities, with majority of research conducted among samples in the United States. The purpose of this study was to examine ED psychopathology among adolescents and young adults in Canada with diverse gender and sexual identities. MethodData were collected from 2,714 Canadians, aged 16-30 years old, via an online survey at the end of 2021 during the COVID-19 pandemic. Participants responded to sociodemographic questions (including history of EDs) and reported on eating attitudes and behaviors. Descriptive statistics and multiple modified Poisson and linear regressions were conducted. ResultsOver half the sample was heterosexual, 35% were sexual minority cisgender men and women, and 6.5% were transgender and gender non-conforming (TGNC) people. The sample overall reported elevated ED psychopathology based on their eating attitudes and behaviors. TGNC participants reported the most severe ED psychopathology. Generally, sexual minority cisgender women and cisgender men had elevated ED psychopathology compared to their heterosexual counterparts. Regression analyses revealed all gender and sexual minorities reported greater ED psychopathology compared to heterosexual cisgender men. DiscussionThe Canadian sample reported elevated ED psychopathology compared to previous studies among various populations. Additional investigations are now needed to observe how ED psychopathology continues to change after the onset of the pandemic. Further research is needed among cisgender men, TGNC people, and sexual minorities to understand the unique stressors they face that lead to high ED psychopathology, and develop appropriate prevention and treatment tools. Public significanceEDs affect people of all gender and sexual identities. People who identify as a gender and/or sexual minority often experience problematic eating attitudes and behaviors, particularly transgender and gender non-conforming people of all sexual identities. More research attention is needed among these populations, especially due to a paucity of research among Canadians, to develop effective diagnostic tools, prevention efforts, and treatment programs specific to gender and sexual identities."
https://doi.org/10.1002/eat.23812,Comparing eating disorder treatment outcomes of transgender and nonbinary individuals with cisgender individuals,2022,Riddle M.C.; Robertson L.; Blalock D.V.; Duffy A.; Le Grange D.; Mehler P.S.; Rienecke R.D.; Joiner T.,,https://api.openalex.org/works/https://doi.org/10.1002/eat.23812,,false,,,,,,,02763478,Riddle M.C.; Robertson L.; Blalock D.V.; Duffy A.; Le Grange D.; Mehler P.S.; Rienecke R.D.; Joiner T.,,"Objective: The purpose of this study was to compare symptom severity of eating disorders (EDs), depression and anxiety at admission and discharge for transgender and nonbinary (TNB) individuals and cisgender adult individuals receiving treatment for EDs at higher levels of care (HLOC), adding to the limited research in this area. Method: Participants were 25 TNB individuals and 376 cisgender individuals admitted to a HLOC ED treatment facility. Participants completed the Eating Disorder Examination Questionnaire (EDE-Q), Patient Health Questionnaire-9, and Beck Anxiety Inventory at admission and discharge. Results: TNB individuals showed significant improvements on EDE-Q global scores between admission and discharge (Cohen's d = 1.27), and showed similar improvements on the EDE-Q over the course of treatment (Cohen's d = 0.06) when compared to cisgender individuals. TNB individuals had more severe depression at admission (Cohen's d = 0.61). Although depression improved over the course of treatment for both groups, TNB individuals showed less improvement (Cohen's d = 0.59). Suicidality was higher for TNB individuals on admission and discharge and did not improve significantly over the course of treatment (Cohen's d = 0.38). Discussion: This study provides preliminary evidence that TNB and cisgender individuals show similar improvement in ED symptoms during HLOC treatment. However, TNB individuals have more severe depression and less improvement in depression compared to cisgender individuals, without improvement in suicidality. TNB individuals may benefit from care targeting depression and suicidality during ED treatment. Public Significance Statement: TNB individuals have increased risk of EDs. Little research addresses how TNB individuals respond to ED treatment, which was traditionally created for cisgender individuals. We present one of the first studies examining ED treatment outcomes for TNB adults. TNB individuals showed improved ED symptoms with treatment, but less improvement in depression and their suicidality remained elevated. This suggests the need for targeted treatment. © 2022 Wiley Periodicals LLC."
https://doi.org/10.1002/eat.23812,Comparing eating disorder treatment outcomes of transgender and nonbinary individuals with cisgender individuals,2022,"Riddle, Megan C.; Robertson, Lee; Blalock, Dan, V; Duffy, Alan; Le Grange, Daniel; Mehler, Philip S.; Rienecke, Renee D.; Joiner, Thomas",,https://api.openalex.org/works/https://doi.org/10.1002/eat.23812,,false,,,,,,,0276-3478,"Riddle, Megan C.; Robertson, Lee; Blalock, Dan, V; Duffy, Alan; Le Grange, Daniel; Mehler, Philip S.; Rienecke, Renee D.; Joiner, Thomas",,"Objective The purpose of this study was to compare symptom severity of eating disorders (EDs), depression and anxiety at admission and discharge for transgender and nonbinary (TNB) individuals and cisgender adult individuals receiving treatment for EDs at higher levels of care (HLOC), adding to the limited research in this area. Method Participants were 25 TNB individuals and 376 cisgender individuals admitted to a HLOC ED treatment facility. Participants completed the Eating Disorder Examination Questionnaire (EDE-Q), Patient Health Questionnaire-9, and Beck Anxiety Inventory at admission and discharge. Results TNB individuals showed significant improvements on EDE-Q global scores between admission and discharge (Cohen's d = 1.27), and showed similar improvements on the EDE-Q over the course of treatment (Cohen's d = 0.06) when compared to cisgender individuals. TNB individuals had more severe depression at admission (Cohen's d = 0.61). Although depression improved over the course of treatment for both groups, TNB individuals showed less improvement (Cohen's d = 0.59). Suicidality was higher for TNB individuals on admission and discharge and did not improve significantly over the course of treatment (Cohen's d = 0.38). Discussion This study provides preliminary evidence that TNB and cisgender individuals show similar improvement in ED symptoms during HLOC treatment. However, TNB individuals have more severe depression and less improvement in depression compared to cisgender individuals, without improvement in suicidality. TNB individuals may benefit from care targeting depression and suicidality during ED treatment. Public Significance Statement TNB individuals have increased risk of EDs. Little research addresses how TNB individuals respond to ED treatment, which was traditionally created for cisgender individuals. We present one of the first studies examining ED treatment outcomes for TNB adults. TNB individuals showed improved ED symptoms with treatment, but less improvement in depression and their suicidality remained elevated. This suggests the need for targeted treatment."
https://doi.org/10.1080/10640266.2022.2135715,Social and contextual influences on eating pathology in transgender and nonbinary adults,2023,Urban B.; Knutson D.; Klooster D.; Soper J.,,https://api.openalex.org/works/https://doi.org/10.1080/10640266.2022.2135715,,false,,,,,,,10640266,Urban B.; Knutson D.; Klooster D.; Soper J.,,"Eating pathology (EP) is reported at alarmingly high rates among transgender and nonbinary (TNB) people. The present study investigates key associations between experiences that are common in TNB populations and EP. TNB individuals located within the United States (N = 212) who self-identified as currently experiencing disordered eating or an eating disorder were recruited from social media outlets and completed an online survey that included measures of EP, discrimination-based trauma symptoms, internalized transphobia, and gender dysphoria. The average age of participants was just over 27 years old (SD = 6.22) and the majority of participants (68.9%) were nonbinary. Data were analyzed using IBM SPSS version 28 and PROCESS 4.0. Discrimination trauma [β =.27, t(211) = 3.90, p <.001] and internalized transphobia [β =.21, t(211) = 3.03, p =.003] were significant predictors of EP in a multiple regression model. Additionally, internalized transphobia partially mediated the association between discrimination trauma and EP. Findings reinforce the need for trauma-informed and multiculturally competent provision of services for TNB populations presenting with eating concerns. Results also highlight the complex role that previously unexplored variables play in the etiology of EP for TNB populations. Implications and clinical recommendations are discussed. © 2022 Taylor & Francis."
https://doi.org/10.1080/10640266.2022.2135715,Social and contextual influences on eating pathology in transgender and nonbinary adults,2023,"Urban, Bek; Knutson, Douglas; Klooster, Dannie; Soper, Jules",,https://api.openalex.org/works/https://doi.org/10.1080/10640266.2022.2135715,,false,,,,,,,1064-0266,"Urban, Bek; Knutson, Douglas; Klooster, Dannie; Soper, Jules",,"Eating pathology (EP) is reported at alarmingly high rates among transgender and nonbinary (TNB) people. The present study investigates key associations between experiences that are common in TNB populations and EP. TNB individuals located within the United States (N = 212) who self-identified as currently experiencing disordered eating or an eating disorder were recruited from social media outlets and completed an online survey that included measures of EP, discrimination-based trauma symptoms, internalized transphobia, and gender dysphoria. The average age of participants was just over 27 years old (SD = 6.22) and the majority of participants (68.9%) were nonbinary. Data were analyzed using IBM SPSS version 28 and PROCESS 4.0. Discrimination trauma [beta = .27, t(211) = 3.90, p < .001] and internalized transphobia [beta = .21, t(211) = 3.03, p = .003] were significant predictors of EP in a multiple regression model. Additionally, internalized transphobia partially mediated the association between discrimination trauma and EP. Findings reinforce the need for trauma-informed and multiculturally competent provision of services for TNB populations presenting with eating concerns. Results also highlight the complex role that previously unexplored variables play in the etiology of EP for TNB populations. Implications and clinical recommendations are discussed."
https://doi.org/10.1002/eat.23932,"Transgender congruence, body appreciation, body dissatisfaction, and disordered eating in Chinese transgender adults",2023,Barnhart W.R.; Cui S.; Cui T.; Hong D.; He J.,,https://api.openalex.org/works/https://doi.org/10.1002/eat.23932,,false,,,,,,,02763478,Barnhart W.R.; Cui S.; Cui T.; Hong D.; He J.,,"Objective: Ample evidence shows that transgender congruence is negatively associated with body dissatisfaction and disordered eating in the Western context; however, limited research has explored these relationships in non-Western populations (e.g., Chinese transgender adults). Moreover, to our knowledge, there has been no research describing disordered eating in Chinese transgender adults. Thus, this study aimed to explore group differences in and relationships between transgender congruence, body appreciation, body dissatisfaction, and disordered eating in Chinese transgender adults. Methods: This study examined transgender congruence, body appreciation, body dissatisfaction, and disordered eating in a sample of Chinese transgender adults (N = 200). Chi-square, F tests, and correlation analyses were conducted to examine group differences and relationships between study variables. Results: Of the transgender adults, 31.0% screened positive as probable eating disorder (ED) cases. There were no gender identity differences in the study variables. Transgender congruence was positively associated body appreciation (r =.40, p <.001) and negatively associated with body dissatisfaction (r = −.26, p <.001) and disordered eating (r = −.15, p =.031). Discussion: Chinese transgender adults may be at high risk of EDs. Transgender congruence and body appreciation may serve a protective role in the context of eating pathology in Chinese transgender adults. Future research is needed to validate the observed relationships between transgender congruence, body appreciation, body dissatisfaction, and disordered eating in Chinese transgender adults. Public Significance: Research on disordered eating and body image in Chinese transgender adults is limited. This study describes disordered eating and its relations with transgender congruence, body appreciation, and body dissatisfaction in Chinese transgender adults. Findings highlight the need for and implications of ED intervention in Chinese transgender adults. © 2023 Wiley Periodicals LLC."
