DOI,Title,Year,First author,Found in,OpenAlex API,Indexed in,is_oa,oa_status,oa_url,pdf url,cited by count,citation normalized percentile (value),Concepts,ISSN,Authors,APA reference,Abstract
10.1016/j.jadohealth.2024.06.022,"Associations Between Gender Dysphoria, Eating Disorders, and Mental Health Diagnoses Among Adolescents",2024,Liz Abernathey,,https://api.openalex.org/works?filter=doi:10.1016/j.jadohealth.2024.06.022,,false,Closed,,,1,0.762363,"Dysphoria, Gender dysphoria, Eating disorders, Mental health, Psychology, Clinical psychology, Psychiatry, Medical diagnosis, Medicine, Gender identity, Anxiety, Social psychology, Pathology",,"Liz Abernathey, Nicole F. Kahn, Gina M. Sequeira, Laura P. Richardson, Kym Ahrens","Abernathey, L., Kahn, N. F., Sequeira, G. M., Richardson, L. P., & Ahrens, K. (2024). Associations between gender dysphoria, eating disorders, and mental health diagnoses among adolescents. . https://doi.org/10.1016/j.jadohealth.2024.06.022",
10.1521/bumc.2023.87.2.162,Psychological disorders and positive mental health in gender-diverse youth,2023,Katherine Gallagher,,https://api.openalex.org/works?filter=doi:10.1521/bumc.2023.87.2.162,,false,Closed,,,5,0.803834,"Transgender, Mental health, Psychology, Minority stress, Clinical psychology, Eating disorders, Population, Autism, Anxiety, Neurotypical, Psychiatry, Gender dysphoria, Sexual orientation, Developmental psychology, Medicine, Autism spectrum disorder, Sexual minority, Social psychology, Environmental health, Psychoanalysis",,"Katherine Gallagher, Marni E. Axelrad","Gallagher, K. & Axelrad, M. E. (2023). Psychological disorders and positive mental health in gender-diverse youth. . https://doi.org/10.1521/bumc.2023.87.2.162",
10.1002/eat.23872,Examination of eating disorder psychopathology across sexual and gender identities among a Canadian sample,2022,Laura Hallward,,https://api.openalex.org/works?filter=doi:10.1002/eat.23872,,false,Closed,,,16,0.807658,"Psychopathology, Sexual minority, Psychology, Transgender, Clinical psychology, Affect (linguistics), Eating disorders, Sexual orientation, Stressor, Social psychology, Communication, Psychoanalysis",,"Laura Hallward, Jason M. Nagata, Rachel F. Rodgers, Kyle T. Ganson","Hallward, L., Nagata, J. M., Rodgers, R. F., & Ganson, K. T. (2022). Examination of eating disorder psychopathology across sexual and gender identities among a canadian sample. . https://doi.org/10.1002/eat.23872",
10.1002/eat.23812,Comparing eating disorder treatment outcomes of transgender and nonbinary individuals with cisgender individuals,2022,Megan Riddle,,https://api.openalex.org/works?filter=doi:10.1002/eat.23812,,false,Closed,,,14,0.807658,"Anxiety, Depression (economics), Eating disorders, Transgender, Psychology, Psychiatry, Medicine, Clinical psychology, Psychoanalysis, Economics, Macroeconomics",,"Megan Riddle, Lee Robertson, Dan V. Blalock, Alan Duffy, Daniel Le Grange, Philip S. Mehler, Renee D. Rienecke, Thomas E. Joiner","Riddle, M., Robertson, L., Blalock, D. V., Duffy, A., Grange, D. L., Mehler, P. S., Rienecke, R. D., & Joiner, T. E. (2022). Comparing eating disorder treatment outcomes of transgender and nonbinary individuals with cisgender individuals. . https://doi.org/10.1002/eat.23812",
10.1080/10640266.2022.2135715,Social and contextual influences on eating pathology in transgender and nonbinary adults,2022,Bek Urban,,https://api.openalex.org/works?filter=doi:10.1080/10640266.2022.2135715,,false,Closed,,,13,0.817783,"Transphobia, Transgender, Eating disorders, Gender dysphoria, Psychology, Clinical psychology, Medicine, Psychoanalysis",,"Bek Urban, Douglas Knutson, Dannie Klooster, Jules Soper","Urban, B., Knutson, D., Klooster, D., & Soper, J. (2022). Social and contextual influences on eating pathology in transgender and nonbinary adults. . https://doi.org/10.1080/10640266.2022.2135715",
10.1002/eat.23932,"Transgender congruence, body appreciation, body dissatisfaction, and disordered eating in Chinese transgender adults",2023,Wesley R. Barnhart,,https://api.openalex.org/works?filter=doi:10.1002/eat.23932,,false,Closed,,,30,0.999965,"Transgender, Psychology, Disordered eating, Eating disorders, Context (archaeology), Young adult, Clinical psychology, Developmental psychology, Paleontology, Psychoanalysis, Biology",,"Wesley R. Barnhart, Shuqi Cui, Tianxiang Cui, Dinan Hong, Jinbo He","Barnhart, W. R., Cui, S., Cui, T., Hong, D., & He, J. (2023). Transgender congruence, body appreciation, body dissatisfaction, and disordered eating in chinese transgender adults. . https://doi.org/10.1002/eat.23932",
10.1016/j.eatbeh.2023.101771,Orthorexia nervosa symptomatology in the LGBTQ community: Gender and sexual orientation differences,2023,Natalie A. Noebel,,https://api.openalex.org/works?filter=doi:10.1016/j.eatbeh.2023.101771,,false,Closed,,,1,0.569192,"Sexual orientation, Transgender, Psychology, Lesbian, Gender identity, Clinical psychology, Developmental psychology, Social psychology, Psychoanalysis",,"Natalie A. Noebel, Rheanna B. Vela, Dilan H. Arreguin, Crystal D. Oberle","Noebel, N. A., Vela, R. B., Arreguin, D. H., & Oberle, C. D. (2023). Orthorexia nervosa symptomatology in the lgbtq community: gender and sexual orientation differences. . https://doi.org/10.1016/j.eatbeh.2023.101771",
10.4088/pcc.22m03352,Gender Dysphoria in Pediatric and Transitional-Aged Youth Hospitalized for Suicidal Behaviors,2023,Farzana Faruki,,https://api.openalex.org/works?filter=doi:10.4088/pcc.22m03352,,false,Closed,,,6,0.999972,"Dysphoria, Gender dysphoria, Psychiatry, Clinical psychology, Anxiety, Medicine, Psychology, Suicidal ideation, Comorbidity, Poison control, Injury prevention, Transgender, Environmental health, Psychoanalysis",,"Farzana Faruki, Archna Patel, Sanobar Jaka, Manpreet Kaur, Albulena Sejdiu, Avreet Bajwa, Rikinkumar S. Patel","Faruki, F., Patel, A., Jaka, S., Kaur, M., Sejdiu, A., Bajwa, A., & Patel, R. S. (2023). Gender dysphoria in pediatric and transitional-aged youth hospitalized for suicidal behaviors. . https://doi.org/10.4088/pcc.22m03352",
10.25318/82-003-x202300900001-eng,Cybervictimization and mental health among Canadian youth.,2023,Mila Kingsbury,,https://api.openalex.org/works?filter=doi:10.25318/82-003-x202300900001-eng,,false,Closed,,,5,0.803834,"Suicidal ideation, Anxiety, Mental health, Depression (economics), Psychiatry, Odds, Psychology, Logistic regression, Clinical psychology, Population, Poison control, Suicide prevention, Odds ratio, Medicine, Environmental health, Pathology, Internal medicine, Economics, Macroeconomics",,"Mila Kingsbury, Rübab G. Arım","Kingsbury, M. & Arım, R. G. (2023). Cybervictimization and mental health among canadian youth.. . https://doi.org/10.25318/82-003-x202300900001-eng",
10.1002/eat.24055,"Moving toward targeted eating disorder care for transgender, non‐binary, and gender expansive patients in the United States",2023,Teddy G. Goetz,,https://api.openalex.org/works?filter=doi:10.1002/eat.24055,,false,Closed,,,10,0.800509,"Transgender, Gender dysphoria, Psychology, Distress, Psychological intervention, Eating disorders, Suicidal ideation, Disordered eating, Inclusion (mineral), Mental health, Qualitative research, Clinical psychology, Poison control, Psychiatry, Suicide prevention, Medicine, Social psychology, Sociology, Psychoanalysis, Social science, Environmental health",,"Teddy G. Goetz, Courtney Benjamin Wolk","Goetz, T. G. & Wolk, C. B. (2023). Moving toward targeted eating disorder care for transgender, non‐binary, and gender expansive patients in the united states. . https://doi.org/10.1002/eat.24055",
