DOI,Title,Year,First author,Found in,OpenAlex API,Indexed in,is_oa,oa_status,oa_url,pdf url,cited by count,citation normalized percentile (value),Concepts,ISSN,Authors,APA reference,Abstract
10.1016/j.annepidem.2022.04.007,Variability in eating disorder risk and diagnosis in transgender and gender diverse college students,2022,Melissa Simone,,https://api.openalex.org/works?filter=doi:10.1016/j.annepidem.2022.04.007,,true,Green,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9167734,,36,0.999965,"Sexual orientation, Transgender, Expansive, Odds ratio, Medicine, Disordered eating, Logistic regression, Eating disorders, Clinical psychology, Odds, Psychiatry, Demography, Psychology, Internal medicine, Social psychology, Compressive strength, Materials science, Sociology, Psychoanalysis, Composite material",,"Melissa Simone, Vivienne M. Hazzard, Autumn J. Askew, Elliot A. Tebbe, Sarah Ketchen Lipson, Emily M. Pisetsky","Simone, M., Hazzard, V. M., Askew, A. J., Tebbe, E. A., Lipson, S. K., & Pisetsky, E. M. (2022). Variability in eating disorder risk and diagnosis in transgender and gender diverse college students. . https://doi.org/10.1016/j.annepidem.2022.04.007",
10.1016/j.eatbeh.2021.101527,Predictors of eating-related psychopathology in transgender and gender nonbinary individuals,2021,Blair Uniacke,,https://api.openalex.org/works?filter=doi:10.1016/j.eatbeh.2021.101527,,true,Green,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8380626,,43,0.856925,"Psychopathology, Transgender, Psychology, Disordered eating, Eating disorders, Gender dysphoria, Clinical psychology, Odds, Minority stress, Mental health, Young adult, Psychiatry, Sexual minority, Sexual orientation, Logistic regression, Developmental psychology, Medicine, Social psychology, Psychoanalysis, Internal medicine",,"Blair Uniacke, Deborah R. Glasofer, Michael J. Devlin, Walter O. Bockting, Evelyn Attia","Uniacke, B., Glasofer, D. R., Devlin, M. J., Bockting, W. O., & Attia, E. (2021). Predictors of eating-related psychopathology in transgender and gender nonbinary individuals. . https://doi.org/10.1016/j.eatbeh.2021.101527",
10.1016/j.psychres.2022.114896,The nature of co-morbid psychopathology in adolescents with gender dysphoria,2022,Milla Karvonen,,https://api.openalex.org/works?filter=doi:10.1016/j.psychres.2022.114896,,true,Hybrid,https://doi.org/10.1016/j.psychres.2022.114896,,12,0.817783,"Psychopathology, Psychiatry, Gender dysphoria, Suicidal ideation, Dysphoria, Medicine, Clinical psychology, Eating disorders, Psychology, Mental health, Transgender, Poison control, Suicide prevention, Anxiety, Environmental health, Psychoanalysis",,"Milla Karvonen, Max Karukivi, Kim Kronström, Riittakerttu Kaltiala‐Heino","Karvonen, M., Karukivi, M., Kronström, K., & Kaltiala‐Heino, R. (2022). The nature of co-morbid psychopathology in adolescents with gender dysphoria. . https://doi.org/10.1016/j.psychres.2022.114896","Gender-referred adolescents (GR) have been reported to present with considerable psychiatric symptomatology compared to their age-peers. There is, however, little research on how they compare to adolescents referred due to mental health problems (MHR). We set out to compare psychopathology in adolescents referred to our specialized gender identity unit (n = 84) and adolescents referred to a general adolescent psychiatric clinic (n = 293) in a university hospital setting in Finland. Of the GR adolescents, 40.9% had not received any psychiatric diagnosis during adolescence. Eating disorders were less common in the GR than in the MHR group, but otherwise the prevalences of disorders did not differ statistically significantly. At the symptom level, the GR adolescents displayed significantly more suicidal ideation and talk and less alcohol abuse and eating disorder symptoms than did the MHR adolescents, but otherwise their symptom profiles were comparable. Additionally, the GR adolescents had significantly fewer total externalizing symptoms than did the MHR adolescents. Adolescents seeking gender affirming treatments present with psychiatric symptoms and disorders comparable to those seen among adolescent psychiatric patients. Medical gender affirming care may not be a sufficient intervention for treating psychiatric comorbidities of adolescents with gender dysphoria. © 2022"
10.1177/13591045231184917,Eating disorder symptoms among transgender and gender diverse youth,2023,Rachel Kramer,,https://api.openalex.org/works?filter=doi:10.1177/13591045231184917,,true,Hybrid,https://journals.sagepub.com/doi/pdf/10.1177/13591045231184917,,8,0.999965,"Transgender, Gender dysphoria, Psychology, Clinical psychology, Eating disorders, Medicine, Psychiatry, Psychoanalysis",,"Rachel Kramer, Claire M. Peterson, Lee Ann E. Conard, Katrina R. Lenz, Abigail Matthews","Kramer, R., Peterson, C. M., Conard, L. A. E., Lenz, K. R., & Matthews, A. (2023). Eating disorder symptoms among transgender and gender diverse youth. . https://doi.org/10.1177/13591045231184917",
10.1016/j.eatbeh.2021.101517,Eating disorder screening and treatment experiences in transgender and gender diverse young adults,2021,Sydney M. Hartman-Munick,,https://api.openalex.org/works?filter=doi:10.1016/j.eatbeh.2021.101517,,true,Green,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9645530,,88,0.999956,"Gender dysphoria, Transgender, Outreach, Focus group, Psychology, Young adult, Thematic analysis, Ethnic group, Eating disorders, Disordered eating, Clinical psychology, Gerontology, Qualitative research, Medicine, Developmental psychology, Social science, Marketing, Sociology, Political science, Anthropology, Psychoanalysis, Law, Business",,"Sydney M. Hartman-Munick, Scout Silverstein, Carly E. Guss, Ethan Lopez, Jerel P. Calzo, Allegra R. Gordon","Hartman-Munick, S. M., Silverstein, S., Guss, C. E., Lopez, E., Calzo, J. P., & Gordon, A. R. (2021). Eating disorder screening and treatment experiences in transgender and gender diverse young adults. . https://doi.org/10.1016/j.eatbeh.2021.101517",
10.20960/nh.04952,Nutritional problems in cis and trans women,2023,Isabel Castellanos-López,,https://api.openalex.org/works?filter=doi:10.20960/nh.04952,,true,Gold,https://doi.org/10.20960/nh.04952,,0,0.0,"Transgender, Medicine, Psychology, Humanities, Gynecology, Gerontology, Art, Psychoanalysis",,"Isabel Castellanos-López, Liliana Guadalupe González‐Rodríguez, Laura M. Bermejo, Esther Cuadrado‐Soto, Ana M. López‐Sobaler","Castellanos-López, I., González‐Rodríguez, L. G., Bermejo, L. M., Cuadrado‐Soto, E., & López‐Sobaler, A. M. (2023). Nutritional problems in cis and trans women. . https://doi.org/10.20960/nh.04952","Introduction: Women deserve special attention due to the different requirements they have in comparison with men. In the same way, transgender women need individualized attention. Transgender women are at greater risk of suffering heart attacks or ischemic accidents, among other diseases, and are also at greater risk of developing eating disorders, poorer weight control and poorer perception of their image. Hormone therapy for gender reaffirmation in trans women modifies their body composition, and may also increase the risk of suffering from some pathologies. The nutritional needs of cisgender women are different from those of men, and trans women also have special needs, which may depend on whether or not they follow hormone therapy. Dietary studies, although scarce, suggest that transgender women have poor dietary habits and lifestyle. It is necessary to deepen the study of the nutritional situation of the female group, considering its diversity, and to develop standards and references appropriate to each case that allow better attention to the needs of these groups.; Introducción: El colectivo femenino merece una especial atención debido a los diferentes requerimientos que tienen en comparación con el colectivo masculino. De la misma manera, se necesita atender de manera individualizada al colectivo transgénero. En concreto, las mujeres trans tienen más riesgo de sufrir infartos o accidentes isquémicos, entre otras enfermedades, y también tienen mayor riesgo de desarrollar trastornos del comportamiento alimentario y peor control de peso y percepción de su imagen. La terapia hormonal de reafirmación de género en mujeres trans modifica su composición corporal y también puede aumentar el riesgo de padecer algunas patologías. Las necesidades nutricionales de las mujeres cisgénero son diferentes a las de los varones, y también tienen necesidades especiales las mujeres trans, que pueden depender del seguimiento o no de un tratamiento hormonal. Los estudios dietéticos, aunque escasos, sugieren que las mujeres transgénero tienen unos hábitos dietéticos y un estilo de vida menos saludables. Es necesario profundizar en el estudio de la situación nutricional del colectivo femenino, atendiendo a la diversidad del mismo, y desarrollar estándares y referencias adecuadas a cada caso que permitan una mejor atención de las necesidades de estos colectivos."
10.1002/eat.24317,Associations Between Gender Diversity and Eating Disorder Symptoms in Early Adolescence,2024,Jason M. Nagata,,https://api.openalex.org/works?filter=doi:10.1002/eat.24317,,true,Hybrid,https://doi.org/10.1002/eat.24317,,0,0.0,"Psychology, Diversity (politics), Developmental psychology, Eating disorders, Clinical psychology, Sociology, Anthropology",,"Jason M. Nagata, Karen Li, Angela Kim, Iris Yuefan Shao, Christopher D. Otmar, Kyle T. Ganson, Alexander Testa, Jinbo He, Orsolya Kiss, Jason M. Lavender, Fiona C. Baker","Nagata, J. M., Li, K., Kim, A., Shao, I. Y., Otmar, C. D., Ganson, K. T., Testa, A., He, J., Kiss, O., Lavender, J. M., & Baker, F. C. (2024). Associations between gender diversity and eating disorder symptoms in early adolescence. . https://doi.org/10.1002/eat.24317",
10.1186/s40337-024-01135-4,Exploring eating disorder risk among Thai transfeminine youth: a comparative study with cisgender females,2024,Nadvadee Aungkawattanapong,,https://api.openalex.org/works?filter=doi:10.1186/s40337-024-01135-4,,true,Gold,https://doi.org/10.1186/s40337-024-01135-4,,1,0.762363,"Psychology, Clinical psychology",,"Nadvadee Aungkawattanapong, Orapa Suteerojntrakool, Thitaporn Prownpuntu, Chansuda Bongsebandhu‐phubhakdi","Aungkawattanapong, N., Suteerojntrakool, O., Prownpuntu, T., & Bongsebandhu‐phubhakdi, C. (2024). Exploring eating disorder risk among thai transfeminine youth: a comparative study with cisgender females. . https://doi.org/10.1186/s40337-024-01135-4",
10.1016/j.bodyim.2021.01.008,Exploring transgender adolescents’ body image concerns and disordered eating: Semi-structured interviews with nine gender minority youth,2021,Madelaine Romito,,https://api.openalex.org/works?filter=doi:10.1016/j.bodyim.2021.01.008,,true,Green,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8916039,,68,0.999972,"Disordered eating, Transgender, Psychology, Developmental psychology, Eating disorders, Gender identity, Sociocultural evolution, Identity (music), Clinical psychology, Social psychology, Physics, Sociology, Anthropology, Acoustics, Psychoanalysis",,"Madelaine Romito, Rachel H. Salk, Savannah R. Roberts, Brian C. Thoma, Michele D. Levine, Sophia Choukas‐Bradley","Romito, M., Salk, R. H., Roberts, S. R., Thoma, B. C., Levine, M. D., & Choukas‐Bradley, S. (2021). Exploring transgender adolescents’ body image concerns and disordered eating: semi-structured interviews with nine gender minority youth. . https://doi.org/10.1016/j.bodyim.2021.01.008",
10.1186/s40337-021-00470-0,Perceived weight gain and eating disorder symptoms among LGBTQ+ adults during the COVID-19 pandemic: a convergent mixed-method study,2021,Jennifer Tabler,,https://api.openalex.org/works?filter=doi:10.1186/s40337-021-00470-0,,true,Gold,https://doi.org/10.1186/s40337-021-00470-0,,10,0.843045,"Psychology, Eating disorders, Clinical psychology, Minority stress, Lesbian, Transgender, Weight gain, Medicine, Sexual minority, Body weight, Psychoanalysis, Internal medicine",,"Jennifer Tabler, Rachel M. Schmitz, Ruby Charak, Eliza Dickinson","Tabler, J., Schmitz, R. M., Charak, R., & Dickinson, E. (2021). Perceived weight gain and eating disorder symptoms among lgbtq+ adults during the covid-19 pandemic: a convergent mixed-method study. . https://doi.org/10.1186/s40337-021-00470-0",
